,Title,Published_date,Views,Likes,Favourites,Comments,Month
74,Business Skills for Data Science: What are they REALLY?,2021-10-18,6773,301,0,50,Oct
75,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2205,123,0,5,Oct
76,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5893,279,0,64,Oct
77,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12751,530,0,112,Aug
78,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10157,430,0,32,Aug
79,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,40840,1593,0,32,Aug
80,How I Learned to Learn.,2021-07-31,50739,2362,0,209,Jul
81,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10386,580,0,50,Jul
82,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2388,93,0,30,Jul
83,Why are APIs Important for Data Science?,2021-07-09,9806,451,0,95,Jul
84,Is Your Phone REALLY Listening to You?,2021-07-03,5163,280,0,116,Jul
85,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,14941,594,0,121,Jun
86,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4082,226,0,41,Jun
87,#66DaysOfData - What is it? #shorts,2021-06-11,9067,387,0,54,Jun
88,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16592,1013,0,89,Jun
89,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7436,391,0,195,May
90,How Data Science Projects Pay Off,2021-05-22,10592,596,0,146,May
91,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10552,489,0,134,May
92,What is a lambda function (python)? #shorts,2021-05-13,15176,939,0,49,May
93,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,28890,1544,0,64,May
94,What is Pandas? (Data & Data Science) #shorts,2021-04-30,23461,1204,0,87,Apr
95,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,76890,3428,0,283,Apr
96,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23440,689,0,85,Apr
97,Why You Probably Won't Become a Data Scientist,2021-04-09,137701,4035,0,480,Apr
98,How to Go From Data Analyst to Data Scientist,2021-04-02,53254,1529,0,177,Apr
99,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3971,138,0,92,Mar
100,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18152,349,0,108,Mar
101,My Regrets as a Data Science Student,2021-03-12,23902,880,0,112,Mar
